Watching for file changes with StatReloader
"GET /task/index/ HTTP/1.1" 200 1621
"GET /task/block/ HTTP/1.1" 200 93
"POST /task/index/add/ HTTP/1.1" 201 78
Watching for file changes with StatReloader
/home/danyil/projects/result_2/comments/comments/settings.py changed, reloading.
INFO 2020-01-20 13:58:55,203 basehttp 31566 139677025691392 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:58:55,251 basehttp 31566 139677025691392 "GET /static/css/styles.css HTTP/1.1" 304 0
INFO 2020-01-20 13:58:55,251 basehttp 31566 139677017298688 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 13:58:55,293 basehttp 31566 139677025691392 "GET /task/block HTTP/1.1" 301 0
INFO 2020-01-20 13:58:55,316 basehttp 31566 139677025691392 "GET /task/block/ HTTP/1.1" 200 162
INFO 2020-01-20 13:58:58,270 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:58:58,312 basehttp 31566 139677034084096 "GET /task/block/ HTTP/1.1" 200 162
INFO 2020-01-20 13:59:30,511 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:59:30,555 basehttp 31566 139677034084096 "GET /static/css/styles.css HTTP/1.1" 304 0
INFO 2020-01-20 13:59:30,563 basehttp 31566 139677034084096 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 200 7834
INFO 2020-01-20 13:59:30,629 basehttp 31566 139677034084096 "GET /task/block/ HTTP/1.1" 200 162
INFO 2020-01-20 13:59:31,295 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 13:59:31,371 basehttp 31566 139677034084096 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 14:00:37,287 basehttp 31566 139677034084096 "DELETE /task/index/delete/183 HTTP/1.1" 301 0
INFO 2020-01-20 14:00:37,308 basehttp 31566 139677034084096 "DELETE /task/index/delete/183/ HTTP/1.1" 204 0
INFO 2020-01-20 14:00:50,901 basehttp 31566 139677025691392 "DELETE /task/index/delete/184 HTTP/1.1" 301 0
INFO 2020-01-20 14:00:51,166 basehttp 31566 139677025691392 "DELETE /task/index/delete/184/ HTTP/1.1" 204 0
INFO 2020-01-20 14:00:53,817 basehttp 31566 139677025691392 "DELETE /task/index/delete/183 HTTP/1.1" 301 0
WARNING 2020-01-20 14:00:53,824 log 31566 139677025691392 Not Found: /task/index/delete/183/
WARNING 2020-01-20 14:00:53,825 basehttp 31566 139677025691392 "DELETE /task/index/delete/183/ HTTP/1.1" 404 23
INFO 2020-01-20 14:00:53,846 basehttp 31566 139677025691392 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:00:53,890 basehttp 31566 139677025691392 "GET /static/css/styles.css HTTP/1.1" 304 0
INFO 2020-01-20 14:00:53,891 basehttp 31566 139677017298688 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 200 7834
INFO 2020-01-20 14:00:53,934 basehttp 31566 139677017298688 "GET /task/block HTTP/1.1" 301 0
INFO 2020-01-20 14:00:53,940 basehttp 31566 139677017298688 "GET /task/block/ HTTP/1.1" 200 2
INFO 2020-01-20 14:01:09,346 basehttp 31566 139677034084096 "DELETE /task/index/delete/184 HTTP/1.1" 301 0
WARNING 2020-01-20 14:01:09,356 log 31566 139677034084096 Not Found: /task/index/delete/184/
WARNING 2020-01-20 14:01:09,357 basehttp 31566 139677034084096 "DELETE /task/index/delete/184/ HTTP/1.1" 404 23
INFO 2020-01-20 14:01:09,388 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:01:09,448 basehttp 31566 139677034084096 "GET /static/css/styles.css HTTP/1.1" 304 0
INFO 2020-01-20 14:01:09,456 basehttp 31566 139677034084096 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 14:01:09,475 basehttp 31566 139677034084096 "GET /task/block/ HTTP/1.1" 200 2
INFO 2020-01-20 14:01:48,177 basehttp 31566 139677034084096 "POST /task/index/add/ HTTP/1.1" 201 89
INFO 2020-01-20 14:01:49,926 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:01:49,991 basehttp 31566 139677034084096 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 14:01:50,040 basehttp 31566 139677034084096 "GET /task/block/ HTTP/1.1" 200 91
INFO 2020-01-20 14:01:57,915 basehttp 31566 139677034084096 "POST /task/index/add/ HTTP/1.1" 201 82
WARNING 2020-01-20 14:02:02,340 log 31566 139677034084096 Bad Request: /task/index/add/
WARNING 2020-01-20 14:02:02,341 basehttp 31566 139677034084096 "POST /task/index/add/ HTTP/1.1" 400 49
INFO 2020-01-20 14:02:02,362 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:02:02,417 basehttp 31566 139677034084096 "GET /task/block/ HTTP/1.1" 200 174
INFO 2020-01-20 14:02:11,141 basehttp 31566 139677034084096 "POST /task/index/add/ HTTP/1.1" 201 75
INFO 2020-01-20 14:02:12,931 basehttp 31566 139677034084096 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:02:12,969 basehttp 31566 139677034084096 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 14:02:12,981 basehttp 31566 139677034084096 "GET /task/block/ HTTP/1.1" 200 250
INFO 2020-01-20 14:02:22,045 basehttp 31566 139677034084096 "PUT /task/index/edit/187/ HTTP/1.1" 200 0
INFO 2020-01-20 14:04:21,828 autoreload 31566 139677174966080 /home/danyil/projects/result_2/comments/comments_block/serializers.py changed, reloading.
INFO 2020-01-20 14:04:22,066 autoreload 31957 139799929886528 Watching for file changes with StatReloader
INFO 2020-01-20 14:04:25,241 autoreload 31957 139799929886528 /home/danyil/projects/result_2/comments/comments_block/serializers.py changed, reloading.
INFO 2020-01-20 14:04:25,480 autoreload 31960 140233655637824 Watching for file changes with StatReloader
INFO 2020-01-20 14:04:52,000 autoreload 31960 140233655637824 /home/danyil/projects/result_2/comments/comments_block/serializers.py changed, reloading.
INFO 2020-01-20 14:04:52,223 autoreload 31978 140619746838336 Watching for file changes with StatReloader
INFO 2020-01-20 14:05:08,297 autoreload 31978 140619746838336 /home/danyil/projects/result_2/comments/comments_block/serializers.py changed, reloading.
INFO 2020-01-20 14:05:08,619 autoreload 31990 139732815341376 Watching for file changes with StatReloader
INFO 2020-01-20 14:05:09,828 autoreload 31990 139732815341376 /home/danyil/projects/result_2/comments/comments_block/serializers.py changed, reloading.
INFO 2020-01-20 14:05:10,153 autoreload 31992 140443305015104 Watching for file changes with StatReloader
INFO 2020-01-20 14:05:14,684 basehttp 31992 140443244353280 "POST /task/index/add/ HTTP/1.1" 201 83
INFO 2020-01-20 14:05:39,014 basehttp 31992 140443244353280 "DELETE /task/index/delete/185 HTTP/1.1" 301 0
INFO 2020-01-20 14:05:39,037 basehttp 31992 140443244353280 "DELETE /task/index/delete/185/ HTTP/1.1" 204 0
INFO 2020-01-20 14:05:45,624 basehttp 31992 140443244353280 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:05:45,650 basehttp 31992 140443244353280 "GET /static/css/styles.css HTTP/1.1" 304 0
INFO 2020-01-20 14:05:45,654 basehttp 31992 140443235698432 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 14:05:45,684 basehttp 31992 140443235698432 "GET /task/block/ HTTP/1.1" 200 249
INFO 2020-01-20 14:09:06,193 autoreload 31992 140443305015104 /home/danyil/projects/result_2/comments/comments_block/serializers.py changed, reloading.
INFO 2020-01-20 14:09:06,466 autoreload 32142 140191039293248 Watching for file changes with StatReloader
INFO 2020-01-20 14:09:09,903 basehttp 32142 140190978631424 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:09:09,928 basehttp 32142 140190978631424 "GET /static/css/styles.css HTTP/1.1" 304 0
INFO 2020-01-20 14:09:09,932 basehttp 32142 140190970238720 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 14:09:09,960 basehttp 32142 140190970238720 "GET /task/block/ HTTP/1.1" 200 249
INFO 2020-01-20 14:09:14,996 basehttp 32142 140190970238720 "POST /task/index/add/ HTTP/1.1" 201 76
INFO 2020-01-20 14:09:51,191 autoreload 32142 140191039293248 /home/danyil/projects/result_2/comments/comments_block/serializers.py changed, reloading.
INFO 2020-01-20 14:09:51,454 autoreload 32161 140026555021120 Watching for file changes with StatReloader
INFO 2020-01-20 14:11:21,747 autoreload 32161 140026555021120 /home/danyil/projects/result_2/comments/comments/settings.py changed, reloading.
INFO 2020-01-20 14:11:22,004 autoreload 32215 139826787886912 Watching for file changes with StatReloader
INFO 2020-01-20 14:11:25,864 basehttp 32215 139826727188224 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:11:25,897 basehttp 32215 139826727188224 "GET /static/css/styles.css HTTP/1.1" 304 0
INFO 2020-01-20 14:11:25,898 basehttp 32215 139826718795520 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 14:11:25,923 basehttp 32215 139826718795520 "GET /task/block/ HTTP/1.1" 200 326
INFO 2020-01-20 14:11:29,603 basehttp 32215 139826718795520 "POST /task/index/add/ HTTP/1.1" 201 87
INFO 2020-01-20 14:11:45,665 basehttp 32215 139826718795520 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:11:45,729 basehttp 32215 139826718795520 "GET /task/block/ HTTP/1.1" 200 414
INFO 2020-01-20 14:13:29,365 autoreload 32215 139826787886912 /home/danyil/projects/result_2/comments/comments_block/serializers.py changed, reloading.
INFO 2020-01-20 14:13:29,885 autoreload 32258 139936552544064 Watching for file changes with StatReloader
INFO 2020-01-20 14:13:31,119 basehttp 32258 139936492631808 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:13:31,155 basehttp 32258 139936492631808 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 14:13:31,182 basehttp 32258 139936492631808 "GET /task/block/ HTTP/1.1" 200 414
INFO 2020-01-20 14:13:35,995 serializers 32258 139936492631808 New data added
INFO 2020-01-20 14:13:36,007 basehttp 32258 139936492631808 "POST /task/index/add/ HTTP/1.1" 201 82
INFO 2020-01-20 14:14:22,030 autoreload 32258 139936552544064 /home/danyil/projects/result_2/comments/comments_block/serializers.py changed, reloading.
INFO 2020-01-20 14:14:22,270 autoreload 32305 139780789520192 Watching for file changes with StatReloader
ERROR 2020-01-20 14:14:25,796 log 32305 139780728821504 Internal Server Error: /task/index/add/
Traceback (most recent call last):
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/django/core/handlers/exception.py", line 34, in inner
    response = get_response(request)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/django/core/handlers/base.py", line 116, in _get_response
    response = self.process_exception_by_middleware(e, request)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/django/core/handlers/base.py", line 114, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/django/views/decorators/csrf.py", line 54, in wrapped_view
    return view_func(*args, **kwargs)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/django/views/generic/base.py", line 71, in view
    return self.dispatch(request, *args, **kwargs)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/rest_framework/views.py", line 505, in dispatch
    response = self.handle_exception(exc)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/rest_framework/views.py", line 465, in handle_exception
    self.raise_uncaught_exception(exc)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/rest_framework/views.py", line 476, in raise_uncaught_exception
    raise exc
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/rest_framework/views.py", line 502, in dispatch
    response = handler(request, *args, **kwargs)
  File "/home/danyil/projects/result_2/comments/comments_block/views.py", line 32, in post
    serializer.save()
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/rest_framework/serializers.py", line 212, in save
    self.instance = self.create(validated_data)
  File "/home/danyil/projects/result_2/comments/comments_block/serializers.py", line 16, in create
    logger.info('New data added: '+validated_data)
TypeError: can only concatenate str (not "dict") to str
ERROR 2020-01-20 14:14:25,797 basehttp 32305 139780728821504 "POST /task/index/add/ HTTP/1.1" 500 19243
INFO 2020-01-20 14:14:25,832 basehttp 32305 139780728821504 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:14:25,863 basehttp 32305 139780728821504 "GET /static/css/styles.css HTTP/1.1" 304 0
INFO 2020-01-20 14:14:25,885 basehttp 32305 139780728821504 "GET /task/block/ HTTP/1.1" 200 497
INFO 2020-01-20 14:15:13,005 autoreload 32305 139780789520192 /home/danyil/projects/result_2/comments/comments_block/serializers.py changed, reloading.
INFO 2020-01-20 14:15:13,295 autoreload 32375 139750279243584 Watching for file changes with StatReloader
INFO 2020-01-20 14:16:00,850 autoreload 32375 139750279243584 /home/danyil/projects/result_2/comments/comments_block/serializers.py changed, reloading.
INFO 2020-01-20 14:16:01,102 autoreload 32393 140420618663744 Watching for file changes with StatReloader
INFO 2020-01-20 14:17:19,463 autoreload 32646 139939216230208 Watching for file changes with StatReloader
INFO 2020-01-20 14:17:21,350 basehttp 32646 139939088348928 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:17:21,403 basehttp 32646 139939088348928 "GET /static/css/styles.css HTTP/1.1" 304 0
INFO 2020-01-20 14:17:21,406 basehttp 32646 139939088348928 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 14:17:21,437 basehttp 32646 139939088348928 "GET /task/block/ HTTP/1.1" 200 497
ERROR 2020-01-20 14:17:25,081 log 32646 139939088348928 Internal Server Error: /task/index/add/
Traceback (most recent call last):
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/django/core/handlers/exception.py", line 34, in inner
    response = get_response(request)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/django/core/handlers/base.py", line 116, in _get_response
    response = self.process_exception_by_middleware(e, request)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/django/core/handlers/base.py", line 114, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/django/views/decorators/csrf.py", line 54, in wrapped_view
    return view_func(*args, **kwargs)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/django/views/generic/base.py", line 71, in view
    return self.dispatch(request, *args, **kwargs)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/rest_framework/views.py", line 505, in dispatch
    response = self.handle_exception(exc)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/rest_framework/views.py", line 465, in handle_exception
    self.raise_uncaught_exception(exc)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/rest_framework/views.py", line 476, in raise_uncaught_exception
    raise exc
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/rest_framework/views.py", line 502, in dispatch
    response = handler(request, *args, **kwargs)
  File "/home/danyil/projects/result_2/comments/comments_block/views.py", line 32, in post
    serializer.save()
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/rest_framework/serializers.py", line 212, in save
    self.instance = self.create(validated_data)
  File "/home/danyil/projects/result_2/comments/comments_block/serializers.py", line 16, in create
    logger.info(f'New data added: user_name={validated_data.user_name}; comment_text={validated_data.comment_text}')
AttributeError: 'dict' object has no attribute 'user_name'
ERROR 2020-01-20 14:17:25,085 basehttp 32646 139939088348928 "POST /task/index/add/ HTTP/1.1" 500 19320
INFO 2020-01-20 14:17:25,111 basehttp 32646 139939088348928 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:18:32,634 autoreload 32646 139939216230208 /home/danyil/projects/result_2/comments/comments_block/serializers.py changed, reloading.
INFO 2020-01-20 14:18:32,878 autoreload 32697 140073676916544 Watching for file changes with StatReloader
INFO 2020-01-20 14:18:34,447 basehttp 32697 140073616217856 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:18:34,547 basehttp 32697 140073616217856 "GET /task/block/ HTTP/1.1" 200 497
ERROR 2020-01-20 14:18:37,355 log 32697 140073616217856 Internal Server Error: /task/index/add/
Traceback (most recent call last):
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/django/core/handlers/exception.py", line 34, in inner
    response = get_response(request)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/django/core/handlers/base.py", line 116, in _get_response
    response = self.process_exception_by_middleware(e, request)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/django/core/handlers/base.py", line 114, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/django/views/decorators/csrf.py", line 54, in wrapped_view
    return view_func(*args, **kwargs)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/django/views/generic/base.py", line 71, in view
    return self.dispatch(request, *args, **kwargs)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/rest_framework/views.py", line 505, in dispatch
    response = self.handle_exception(exc)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/rest_framework/views.py", line 465, in handle_exception
    self.raise_uncaught_exception(exc)
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/rest_framework/views.py", line 476, in raise_uncaught_exception
    raise exc
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/rest_framework/views.py", line 502, in dispatch
    response = handler(request, *args, **kwargs)
  File "/home/danyil/projects/result_2/comments/comments_block/views.py", line 32, in post
    serializer.save()
  File "/home/danyil/projects/result_2/venv/lib/python3.7/site-packages/rest_framework/serializers.py", line 212, in save
    self.instance = self.create(validated_data)
  File "/home/danyil/projects/result_2/comments/comments_block/serializers.py", line 17, in create
    logger.info(f'New data added: user_name={validated_data.user_name}; comment_text={validated_data.comment_text}')
AttributeError: 'dict' object has no attribute 'user_name'
ERROR 2020-01-20 14:18:37,358 basehttp 32697 140073616217856 "POST /task/index/add/ HTTP/1.1" 500 19323
INFO 2020-01-20 14:18:37,372 basehttp 32697 140073616217856 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:19:31,173 autoreload 32697 140073676916544 /home/danyil/projects/result_2/comments/comments_block/serializers.py changed, reloading.
INFO 2020-01-20 14:19:31,452 autoreload 32724 140092642412352 Watching for file changes with StatReloader
INFO 2020-01-20 14:19:37,287 basehttp 32724 140092581713664 "GET /task/index/ HTTP/1.1" 200 1621
INFO 2020-01-20 14:19:37,322 basehttp 32724 140092581713664 "GET /static/js/scripts.js?ver=1.1 HTTP/1.1" 304 0
INFO 2020-01-20 14:19:37,346 basehttp 32724 140092581713664 "GET /task/block/ HTTP/1.1" 200 497
INFO 2020-01-20 14:19:46,572 serializers 32724 140092581713664 New data added: user_name=asdfasdf; comment_text=asdfsdfasdf
INFO 2020-01-20 14:19:46,592 basehttp 32724 140092581713664 "POST /task/index/add/ HTTP/1.1" 201 82
INFO 2020-01-20 14:21:05,457 autoreload 32724 140092642412352 /home/danyil/projects/result_2/comments/comments_block/views.py changed, reloading.
INFO 2020-01-20 14:21:05,733 autoreload 305 140653511251776 Watching for file changes with StatReloader
INFO 2020-01-20 14:21:07,965 autoreload 305 140653511251776 /home/danyil/projects/result_2/comments/comments_block/views.py changed, reloading.
INFO 2020-01-20 14:21:08,198 autoreload 313 140420420089664 Watching for file changes with StatReloader
INFO 2020-01-20 14:21:11,452 autoreload 313 140420420089664 /home/danyil/projects/result_2/comments/comments_block/views.py changed, reloading.
INFO 2020-01-20 14:21:11,692 autoreload 316 140269861029696 Watching for file changes with StatReloader
INFO 2020-01-20 14:22:51,130 autoreload 316 140269861029696 /home/danyil/projects/result_2/comments/comments_block/views.py changed, reloading.
INFO 2020-01-20 14:22:51,731 autoreload 383 140476409739072 Watching for file changes with StatReloader
INFO 2020-01-20 14:24:03,987 autoreload 383 140476409739072 /home/danyil/projects/result_2/comments/comments_block/views.py changed, reloading.
INFO 2020-01-20 14:24:04,343 autoreload 508 140095361853248 Watching for file changes with StatReloader
